"","Lon","Lat","X","Nimi","Type","Õppekeel","Aadress","x","y","ads_oid"
"26",24.8430053514522,59.4430445831678,46,"Tallinna Arbu Lasteaed","lasteaed","vene","Arbu tn 15, Lasnamäe linnaosa",547828,6589770,"ME01100877"
"27",24.789762929613,59.4296489865463,48,"Tallinna Asunduse Lasteaed","lasteaed","eesti","Pallasti tn 19, Lasnamäe linnaosa",544825,6588241,"ME00654748"
"28",24.7328462914208,59.4285687589492,49,"Tallinna Endla Lasteaed","lasteaed","eesti","Endla tn 21, Kesklinna linnaosa",541596,6588084,"ME02181363"
"29",24.727704855721,59.4096920725222,50,"Tallinna Haraka Lasteaed","lasteaed","eesti","Haraka tn 7a, Kristiine linnaosa",541327,6585978,"ME00649968"
"30",24.7734660042275,59.4328158264391,55,"Tallinna Jaan Poska Lasteaed","lasteaed","eesti","J. Pärna tn 2, Kesklinna linnaosa",543896,6588583,"ME00643225"
"31",24.6360114715225,59.4095209237648,58,"Tallinna Järveotsa Lasteaed","lasteaed","eesti/ vene","Järveotsa tee 15, Haabersti linnaosa",536120,6585906,"EE01081706"
"32",24.6591089045548,59.4037608527167,59,"Tallinna Kadaka Lasteaed","lasteaed","eesti/ vene","Akadeemia tee 66, Mustamäe linnaosa",537438,6585277,"ME00645427"
"33",24.7165964168405,59.4283170963359,61,"Tallinna Kannikese Lasteaed","lasteaed","eesti","Kannikese tn 13, Kristiine linnaosa",540674,6588046,"ME00648397"
"34",24.7268948263978,59.4353702507955,63,"Tallinna Kelmiküla Lasteaed","lasteaed","eesti","Tehnika tn 23, Põhja-Tallinna linnaosa",541250,6588838,"ME01656084"
"35",24.8653135628294,59.4531964633628,65,"Tallinna Kihnu Lasteaed","lasteaed","eesti/ vene","Kihnu tn 1, Lasnamäe linnaosa",549079,6590917,"ME01989707"
"36",24.7402994457063,59.4131317709732,66,"Tallinna Kiisa Lasteaed","lasteaed","eesti","Kiisa tn 6, Kesklinna linnaosa",542038,6586369,"ME00648567"
"37",24.7581135847536,59.4357956567442,67,"Tallinna Kiisupere Lasteaed","lasteaed","eesti","Gonsiori tn 3, Kesklinna linnaosa",543021,6588905,"EE00634847"
"38",24.8722275891413,59.4463822449425,68,"Tallinna Kivila Lasteaed","lasteaed","eesti","Kivila tn 19, Lasnamäe linnaosa",549481,6590163,"ME00637455"
