route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
harju_regionalbus_137,"137","Vääna-Jõesuu - Tabasalu - Tallinn",,3,,,
harju_regionalbus_138,"138","Tallinn - Vaida - Kose",,3,,,
harju_regionalbus_139,"139","Tallinn - Vaida - Kose-Uuemõisa -  Kose  - Ardu",,3,,,
harju_regionalbus_144,"144","Tallinn - Kose-Risti - Kose",,3,,,
harju_regionalbus_144A,"144A","Kose - Kuivajõe - Tallinn",,3,,,
harju_regionalbus_145,"145","Tallinn - Harku - Keila - Paldiski",,3,,,
harju_regionalbus_146,"146","Tallinn - Harku - Keila - Ämari - Padise - Harju-Risti - Nõva",,3,,,
harju_regionalbus_148,"148","Tallinn - Harku - Keila -Ämari - Rummu",,3,,,
harju_regionalbus_149,"149","Tallinn - Harku - Keila - Rummu - Audevälja - Harju-Risti",,3,,,
harju_regionalbus_150,"150","Tallinn - Laagna - Kostivere - Uus-Rebala - Tallinn",,3,,,
harju_regionalbus_151,"151","Tallinn - Laagna - Kuusalu - Kolga - Loksa",,3,,,
harju_regionalbus_151A,"151A","Tallinn - Laagna - Kuusalu - Loksa - Suurpea -Pärispea- Loksa",,3,,,
harju_regionalbus_152,"152","Tallinn - Kuusalu - Kolga - Loksa",,3,,,
harju_regionalbus_152B,"152B","Tallinn - Jõelähtme - Valkla - Kuusalu - Kolga - Loksa",,3,,,
harju_regionalbus_153,"153","Tallinn - Laagna - Kuusalu - Kolga - Loksa - Pärispea - Loksa",,3,,,
harju_regionalbus_154,"154","Tallinn - Jõelähtme - Kaberla - Kiiu - Kuusalu - Muuksi - Leesi",,3,,,
harju_regionalbus_155E,"155E","Tallinn - Laagna - Kuusalu - Loksa",,3,,,
harju_regionalbus_156,"156","Tallinn - Kuusalu - Kahala - Kolga - Loksa - Hara",,3,,,
harju_regionalbus_160,"160","Balti jaam - Bussijaam -  Betooni - Vangla",,3,,,
harju_regionalbus_162,"162","Tallinn - Peetri - Assaku - Uuesalu",,3,,,
harju_regionalbus_163,"163","Tallinn - Ääsmäe - Ruila - Kernu - Haiba",,3,,,
harju_regionalbus_191,"191","Tallinn - Saue",,3,,,
harju_commercialbus_177,"177","Tallinn - Keila",,3,,,
harju_commercialbus_203,"203","Tallinn - Maardu",,3,,,
harju_commercialbus_206,"206","Tallinn - Saku",,3,,,
harju_commercialbus_209,"209","Tallinn - Iru - Muuga - Maardu",,3,,,
